CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR
28,HP50SE 1,"Unst, Underhoull","Farmstead (Norse), Field System (Period Unassigned), Settlement (Viking), Souterrain (Prehistoric)",457340,1204350,SHETLAND ISLANDS,SHETLAND,UNST,HP 5734 0435
194838,HP50SE 98,"Unst, Uyeasound","Cairn (Period Unassigned)(Possible), Farmstead (Norse), Mound (Period Unassigned), Standing Stone (Prehistoric)",458860,1201010,SHETLAND ISLANDS,SHETLAND,UNST,HP 5886 0101
194770,HP61SW 104,"Unst, Ungirsta",Standing Stone (Prehistoric),463210,1212030,SHETLAND ISLANDS,SHETLAND,UNST,HP 6321 1203
46,HP50SE 26,"Unst, Burragarth",Standing Stone (Prehistoric),457540,1203950,SHETLAND ISLANDS,SHETLAND,UNST,HP 5754 0395
67,HP50SE 9,"Unst, Loch Of Bordastubble",Standing Stone (Prehistoric),457870,1203340,SHETLAND ISLANDS,SHETLAND,UNST,HP 5787 0334
163,HP61SW 15,"Unst, Haroldswick","Burnt Mound(S) (Prehistoric)(Possible), Cairn(S) (Period Unassigned)",463700,1212600,SHETLAND ISLANDS,SHETLAND,UNST,HP 637 126
243310,HP60SW 62,"Unst, Vord Hill","Cairn (Period Unassigned)(Possible), Chambered Cairn (Neolithic)(Possible), Standing Stone (Prehistoric)",461100,1204000,SHETLAND ISLANDS,SHETLAND,UNST,HP 611 040
313121,HP60SW 142,"Unst, Loch Of Vatnagarth",Building (Prehistoric),461167,1202745,SHETLAND ISLANDS,SHETLAND,UNST,HP 61167 02745
8,HP50NE 10,"Unst, West Scrafield",Souterrain (Prehistoric),459800,1209400,SHETLAND ISLANDS,SHETLAND,UNST,HP 598 094
17,HP50NE 9,"Unst, Loch Of Watlee",Souterrain (Prehistoric),459250,1205830,SHETLAND ISLANDS,SHETLAND,UNST,HP 5925 0583
29,HP50SE 10,"Unst, Loch Of Stourhoull","Cairn (Period Unassigned)(Possible), Standing Stone (Prehistoric)",457680,1203083,SHETLAND ISLANDS,SHETLAND,UNST,HP 57680 03083
30,HP50SE 11,"Unst, Gunnister",Standing Stone (Prehistoric),458410,1204110,SHETLAND ISLANDS,SHETLAND,UNST,HP 5841 0411
33,HP50SE 14,"Unst, Underhoull, North House","Burnt Mound (Prehistoric), Polished Axehead (Stone)",457980,1204220,SHETLAND ISLANDS,SHETLAND,UNST,HP 5798 0422
40,HP50SE 20,"Unst, Underhoull","Burnt Mound (Prehistoric), Quern(S), Vessel(S) (Steatite)",457670,1204320,SHETLAND ISLANDS,SHETLAND,UNST,HP 5767 0432
47,HP50SE 27,"Unst, Belmont",Standing Stone(S) (Prehistoric),456760,1200890,SHETLAND ISLANDS,SHETLAND,UNST,HP 5676 0089
48,HP50SE 28,"Unst, Kame Of Cruss",Barrow (Prehistoric)(Possible),457140,1204700,SHETLAND ISLANDS,SHETLAND,UNST,HP 5714 0470
110,HP60SW 10,"Unst, Murrister",Burnt Mound (Prehistoric),460900,1201400,SHETLAND ISLANDS,SHETLAND,UNST,HP 609 014
111,HP60SW 11,"Unst, Mailand",Burnt Mound (Prehistoric),460683,1201457,SHETLAND ISLANDS,SHETLAND,UNST,HP 60683 01457
121,HP60SW 20,"Unst, Blue Geos","Building(S) (Prehistoric), Midden (Period Unassigned), Unidentified Pottery (Iron Age)",462810,1204925,SHETLAND ISLANDS,SHETLAND,UNST,HP 62810 04925
123,HP60SW 22,"Unst, Mailand",Souterrain (Prehistoric),460560,1201710,SHETLAND ISLANDS,SHETLAND,UNST,HP 6056 0171
137,HP60SW 5,"Unst, Uyea Breck",Standing Stone (Prehistoric),460610,1200710,SHETLAND ISLANDS,SHETLAND,UNST,HP 6061 0071
138,HP60SW 6,"Unst, Clivocast",Standing Stone (Prehistoric),460440,1200550,SHETLAND ISLANDS,SHETLAND,UNST,HP 6044 0055
165,HP61SW 17,"Unst, Ungirsta",Souterrain (Prehistoric),463100,1213220,SHETLAND ISLANDS,SHETLAND,UNST,HP 6310 1322
270991,HP50SE 104,"Unst, Snabrough",Burnt Mound (Prehistoric),456840,1202730,SHETLAND ISLANDS,SHETLAND,UNST,HP 5684 0273
311892,HP60SW 84,"Unst, Brecknagarth","Clearance Cairn(S) (Prehistoric), Enclosure (Prehistoric)",461292,1201615,SHETLAND ISLANDS,SHETLAND,UNST,HP 61292 01615
330243,HP60SW 251,"Unst, Framgord, Wilma Stane",Standing Stone (Prehistoric)(Possible),462008,1202943,SHETLAND ISLANDS,SHETLAND,UNST,HP 62008 02943
168,HP61SW 2,"Unst, Muckle Heog West",Chambered Cairn (Neolithic),463060,1210850,SHETLAND ISLANDS,SHETLAND,UNST,HP 6306 1085
243310,HP60SW 62,"Unst, Vord Hill","Cairn (Period Unassigned)(Possible), Chambered Cairn (Neolithic)(Possible), Standing Stone (Prehistoric)",461100,1204000,SHETLAND ISLANDS,SHETLAND,UNST,HP 611 040
243314,HP60NW 84,"Unst, Hill Of Colvadale",Chambered Cairn(S) (Neolithic)(Possible),461700,1205900,SHETLAND ISLANDS,SHETLAND,UNST,HP 617 059
243315,HP60NW 85,"Unst, Hill Of Colvadale",Chambered Cairn (Neolithic)(Possible),461400,1205800,SHETLAND ISLANDS,SHETLAND,UNST,HP 614 058
243327,HP60NW 88,"Unst, Hill Of Colvadale",Chambered Cairn (Neolithic)(Possible),462100,1205600,SHETLAND ISLANDS,SHETLAND,UNST,HP 621 056
243329,HP60NW 90,"Unst, Virda Field",Chambered Cairn (Neolithic)(Possible),462600,1206900,SHETLAND ISLANDS,SHETLAND,UNST,HP 626 069
243354,HP60NW 92,"Unst, Hill Of Colvadale","Chambered Cairn(S) (Neolithic)(Possible), Enclosure(S) (Period Unassigned)",461800,1206200,SHETLAND ISLANDS,SHETLAND,UNST,HP 618 062
243368,HP60NW 93,"Unst, Virda Field",Chambered Cairn (Neolithic)(Possible),462500,1207000,SHETLAND ISLANDS,SHETLAND,UNST,HP 625 070
